Running with CUDA on GPU 0	
Loading data from HDF5 to Memory...	
Sorting the data into sets...	
Loading files...	
Loading x_splits	
Loading y_splits	
Loading split_sizes	
Finished loading Torch objects from file	
Network Archtiecture: Skip connections, data vector input method 1	
Epoch 1.23 / 50, i = 311 / 67200, loss = 3.231388	
Epoch 1.23 / 50, i = 312 / 67200, loss = 3.204702	
Epoch 1.23 / 50, i = 313 / 67200, loss = 3.193809	
Epoch 1.23 / 50, i = 314 / 67200, loss = 3.200671	
Epoch 1.23 / 50, i = 315 / 67200, loss = 3.182752	
Epoch 1.24 / 50, i = 316 / 67200, loss = 3.207788	
Epoch 1.24 / 50, i = 317 / 67200, loss = 3.209432	
Epoch 1.24 / 50, i = 318 / 67200, loss = 3.191099	
Epoch 1.24 / 50, i = 319 / 67200, loss = 3.199854	
Epoch 1.24 / 50, i = 320 / 67200, loss = 3.202195	
Epoch 1.24 / 50, i = 321 / 67200, loss = 3.200482	
Epoch 1.24 / 50, i = 322 / 67200, loss = 3.198060	
Epoch 1.24 / 50, i = 323 / 67200, loss = 3.219646	
Epoch 1.24 / 50, i = 324 / 67200, loss = 3.184576	
Epoch 1.24 / 50, i = 325 / 67200, loss = 3.199624	
Epoch 1.24 / 50, i = 326 / 67200, loss = 3.191375	
Epoch 1.24 / 50, i = 327 / 67200, loss = 3.199193	
Epoch 1.24 / 50, i = 328 / 67200, loss = 3.184232	
Epoch 1.24 / 50, i = 329 / 67200, loss = 3.206387	
Epoch 1.25 / 50, i = 330 / 67200, loss = 3.194749	
Epoch 1.25 / 50, i = 331 / 67200, loss = 3.198259	
Epoch 1.25 / 50, i = 332 / 67200, loss = 3.228705	
Epoch 1.25 / 50, i = 333 / 67200, loss = 3.202577	
Epoch 1.25 / 50, i = 334 / 67200, loss = 3.200382	
Epoch 1.25 / 50, i = 335 / 67200, loss = 3.224353	
Epoch 1.25 / 50, i = 336 / 67200, loss = 3.192173	
Epoch 1.25 / 50, i = 337 / 67200, loss = 3.198835	
Epoch 1.25 / 50, i = 338 / 67200, loss = 3.205968	
Epoch 1.25 / 50, i = 339 / 67200, loss = 3.203990	
Epoch 1.25 / 50, i = 340 / 67200, loss = 3.203423	
Epoch 1.25 / 50, i = 341 / 67200, loss = 3.193508	
Epoch 1.25 / 50, i = 342 / 67200, loss = 3.167738	
Epoch 1.26 / 50, i = 343 / 67200, loss = 3.194221	
Epoch 1.26 / 50, i = 344 / 67200, loss = 3.218740	
Epoch 1.26 / 50, i = 345 / 67200, loss = 3.221782	
Epoch 1.26 / 50, i = 346 / 67200, loss = 3.204825	
Epoch 1.26 / 50, i = 347 / 67200, loss = 3.194774	
Epoch 1.26 / 50, i = 348 / 67200, loss = 3.213997	
Epoch 1.26 / 50, i = 349 / 67200, loss = 3.218603	
Epoch 1.26 / 50, i = 350 / 67200, loss = 3.204453	
Epoch 1.26 / 50, i = 351 / 67200, loss = 3.186805	
Epoch 1.26 / 50, i = 352 / 67200, loss = 3.207086	
Epoch 1.26 / 50, i = 353 / 67200, loss = 3.211010	
Epoch 1.26 / 50, i = 354 / 67200, loss = 3.202787	
Epoch 1.26 / 50, i = 355 / 67200, loss = 3.187424	
Epoch 1.26 / 50, i = 356 / 67200, loss = 3.203835	
Epoch 1.27 / 50, i = 357 / 67200, loss = 3.185821	
Epoch 1.27 / 50, i = 358 / 67200, loss = 3.220846	
Epoch 1.27 / 50, i = 359 / 67200, loss = 3.227104	
Epoch 1.27 / 50, i = 360 / 67200, loss = 3.184863	
Epoch 1.27 / 50, i = 361 / 67200, loss = 3.205083	
Epoch 1.27 / 50, i = 362 / 67200, loss = 3.206385	
Epoch 1.27 / 50, i = 363 / 67200, loss = 3.199972	
Epoch 1.27 / 50, i = 364 / 67200, loss = 3.207397	
Epoch 1.27 / 50, i = 365 / 67200, loss = 3.208288	
Epoch 1.27 / 50, i = 366 / 67200, loss = 3.213697	
Epoch 1.27 / 50, i = 367 / 67200, loss = 3.196061	
Epoch 1.27 / 50, i = 368 / 67200, loss = 3.200230	
Epoch 1.27 / 50, i = 369 / 67200, loss = 3.208869	
Epoch 1.28 / 50, i = 370 / 67200, loss = 3.208550	
Epoch 1.28 / 50, i = 371 / 67200, loss = 3.205411	
Epoch 1.28 / 50, i = 372 / 67200, loss = 3.191744	
Epoch 1.28 / 50, i = 373 / 67200, loss = 3.191183	
Epoch 1.28 / 50, i = 374 / 67200, loss = 3.202475	
Epoch 1.28 / 50, i = 375 / 67200, loss = 3.214085	
Epoch 1.28 / 50, i = 376 / 67200, loss = 3.193320	
Epoch 1.28 / 50, i = 377 / 67200, loss = 3.199342	
